"","studyName","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","speciesMatched","family","pft","growingCondition","status","light","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","h.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","mean_annual_precipitation"
"32","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,79,NA,NA,0.016832639,NA,NA,0.003525649,NA,NA,NA,NA,NA,0.026302177,NA,2.717161191,NA,14.6,6.8,NA,0.182999923139393,1.3,1.85999921446244,7.8,NA,NA,NA,NA,81.418,NA,NA,NA,NA,6.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"33","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,77,NA,NA,0.018489239,NA,NA,0.005152993,NA,NA,NA,NA,NA,0.031888906,NA,2.5446879,NA,15.24,6.6,NA,0.201499916023661,1.3,1.79999923980236,8.64,NA,NA,NA,NA,94.257,NA,NA,NA,NA,9.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"34","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,75,NA,NA,0.008283784,NA,NA,0.002375827,NA,NA,NA,NA,NA,0.01358129,NA,1.246897071,NA,14.3,6.7,NA,0.131499944853662,1.3,1.25999946786165,7.6,4.424,NA,NA,NA,40.448,44.872,3.848,NA,NA,3.144,48.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"35","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,73,NA,NA,0.01113301,NA,NA,0.002551756,NA,NA,NA,NA,NA,0.016741533,NA,2.269798775,NA,15.8,7.9,NA,0.14599993785988,1.3,1.69999928203556,7.9,5.781,NA,NA,NA,60.783,66.564,5.887,NA,NA,3.321,69.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"36","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,79,NA,NA,0.02529785,NA,NA,0.00950331,NA,NA,NA,NA,NA,0.042821639,NA,2.164241351,NA,16.7,6.9,NA,0.233499901809773,1.3,1.65999929892884,9.8,9.459,NA,NA,NA,145.104,154.563,16.297,NA,NA,18.945,173.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"37","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,25,NA,NA,0.005494641,NA,NA,0.000314159,NA,NA,NA,NA,NA,0.007088212,NA,2.432847296,NA,11.1,5.3,NA,0.0949999569466551,1.3,1.75999925669564,5.8,NA,NA,NA,NA,15.533,NA,NA,NA,NA,1.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"38","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,26,NA,NA,0.004129816,NA,NA,0.000113097,NA,NA,NA,NA,NA,0.004901666,NA,1.862648711,NA,10.2,4.9,NA,0.0789999682676128,1.3,1.53999934960869,5.3,NA,NA,NA,NA,11.85,NA,NA,NA,NA,0.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"39","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,27,NA,NA,0.012416545,NA,NA,0.000754767,NA,NA,NA,NA,NA,0.015284032,NA,7.942253679,NA,13.4,5.6,NA,0.139499942456611,1.3,3.17999865698417,7.8,NA,NA,NA,NA,54.741,NA,NA,NA,NA,4.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"40","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,19,NA,NA,0.000754767,NA,NA,0,NA,NA,NA,NA,NA,0.000881412,NA,1.720334684,NA,5.5,2,NA,0.0334999793075176,1.3,1.47999937494861,3.5,0.112,NA,NA,NA,1.459,1.571,0.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"41","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,25,NA,NA,0.005167916,NA,NA,0.000113097,NA,NA,NA,NA,NA,0.0060132,NA,4.011496271,NA,10.7,4.9,NA,0.0874999658880018,1.3,2.25999904552963,5.8,1.609,NA,NA,NA,15.214,16.823,1.686,NA,NA,1.185,18.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
